|name        |ra        |dec      |trigger_time           |t90     |flnc_band_phtfluxb|flnc_band_phtfluxb_error|
|GRB120629565|11 44 38.4|-00 36 00|2012-06-29 13:34:11.681|   0.704|      2.087149e+00|            3.492110e-01|
|GRB170827818|03 15 09.6|-65 22 48|2017-08-27 19:38:04.465|   0.832|      2.091130e+00|            1.607564e-01|
|GRB150214293|22 50 19.2|-34 10 12|2015-02-14 07:01:22.650|   0.192|      2.130927e+00|            2.102584e-01|
|GRB110509475|04 58 36.0|-26 58 48|2011-05-09 11:24:15.579|   0.640|      2.136257e+00|            1.517843e-01|
|GRB130705398|10 25 12.0|+47 24 36|2013-07-05 09:33:03.959|   0.128|      2.143248e+00|            2.862388e-01|
|GRB170711713|18 34 26.4|+17 14 24|2017-07-11 17:06:36.477|   1.152|      2.156071e+00|            2.082043e-01|
|GRB171219279|17 58 28.8|-18 01 48|2017-12-19 06:42:17.079|   1.152|      2.162148e+00|            2.339366e-01|
|GRB150412931|14 41 02.4|+20 07 48|2015-04-12 22:20:36.202|   0.640|      2.166255e+00|            2.126246e-01|
|GRB181126162|05 22 19.2|+18 42 36|2018-11-26 03:52:50.350|   1.664|      2.181009e+00|            2.048473e-01|
|GRB090331681|14 02 00.0|+03 06 00|2009-03-31 16:20:20.385|   0.832|      2.183699e+00|            2.231627e-01|
|GRB170926782|22 56 28.8|-26 15 00|2017-09-26 18:46:05.164|   0.896|      2.192818e+00|            1.181526e-01|
|GRB080919790|14 38 00.0|+44 24 00|2008-09-19 18:57:35.105|   0.512|      2.197894e+00|            3.428599e-01|
|GRB101208203|14 09 36.0|+04 02 24|2010-12-08 04:52:56.916|   0.192|      2.213118e+00|            2.177965e-01|
|GRB120415891|12 42 45.6|+04 54 36|2012-04-15 21:23:41.026|   0.960|      2.215135e+00|            2.608519e-01|
|GRB161026373|04 30 48.0|+41 51 00|2016-10-26 08:57:16.281|   0.112|      2.220552e+00|            2.313858e-01|
|GRB080723913|07 33 12.0|-19 42 00|2008-07-23 21:55:23.058|   0.192|      2.237087e+00|            2.236466e-01|
|GRB150728151|06 41 45.6|+17 03 36|2015-07-28 03:37:26.494|   1.728|      2.260028e+00|            1.762117e-01|
|GRB170918139|02 26 14.4|+03 31 12|2017-09-18 03:20:22.880|   0.128|      2.261444e+00|            3.498975e-01|
|GRB170915520|17 19 19.2|-10 33 36|2017-09-15 12:28:16.266|   0.640|      2.270057e+00|            1.907200e-01|
|GRB170912985|05 34 16.8|+07 12 00|2017-09-12 23:38:12.673|   0.480|      2.300426e+00|            3.041576e-01|
|GRB180201706|16 45 16.8|-43 28 12|2018-02-01 16:55:58.599|   0.192|      2.302739e+00|            1.863103e-01|
|GRB120915000|13 57 24.0|+67 19 12|2012-09-15 00:00:41.638|   0.576|      2.324979e+00|            2.366908e-01|
|GRB081012045|04 38 48.0|+04 30 00|2008-10-12 01:05:22.783|   1.216|      2.326224e+00|            1.597279e-01|
|GRB111207512|10 59 31.2|-17 56 24|2011-12-07 12:17:16.205|   0.768|      2.358330e+00|            4.967334e-01|
